id,id_str,name,screen_name,location,description,url,followers_count,friends_count,listed_count,created_at,favourites_count,verified,statuses_count,lang,status/text,has_extended_profile,default_profile,default_profile_image
831578789654192129,831578789654192129,__.-=---=.__*__,_OutToSea_,Everywhere,I tweet a new horizon view every six hours.  Created by @acgodliman using cheapbotsdonequick. WIP,https://t.co/7BQ9mvELnA,492,14,27,Tue Feb 14 19:00:08 +0000 2017,1,False,107,en,https://t.co/KquOeROR3X,False,False,False,1
828133092845948928,828133092845948928,ElectronicVanescence,evanescence_exe,,bot by @ckolderup • #botALLY,,132,1,10,Sun Feb 05 06:48:10 +0000 2017,2,False,503,en,@matsie CALL MY NAME AND SAVE ME FROM THE DARK,False,False,False,1
813815833789009920,813815833789009920,"Hold On, Magnolia",holdon_magnolia,,Hourly lyrics by Jason Molina • bot by @ckolderup • #botALLY,,13,0,3,Tue Dec 27 18:36:29 +0000 2016,0,False,1805,en,"I’m trying to remember how it got so late
Why every night pain comes from a different place
Now something’s got to change",False,False,False,1
797697560404250629,797697560404250629,Freeze Frame Bot,freezeframebot,,*record scratch* *freeze frame* You might be wondering how this bot got here. @lanewinfield made it and it tweets ~10x/day Rand YT videos + fav TV/movie trope,https://t.co/sQDDP0jRef,3835,1,77,Sun Nov 13 07:08:13 +0000 2016,1,False,1432,en,*record scratch* https://t.co/qvoxNARr8C,False,True,False,1
796068994755108865,796068994755108865,BotProps,ca_props_exe,,"bot by @ckolderup • #botALLY • thanks to #CBDQ • not real propositions, please consult a voter guide",,9,1,9,Tue Nov 08 19:16:53 +0000 2016,0,False,2983,en,"California Voters: PLEASE remember to vote NO on Prop 72, which would ban strengthening ligaments!",False,False,False,1
779880044420300800,779880044420300800,Birds on Wires,__birds__,Up,"Bot by @RobertVinluan via https://t.co/jYkbN14MbW     (Bird Illustrations by https://t.co/PvRmGnVWQy)
(currently in Halloween mode 🎃)",https://t.co/J99BRpxIXZ,310,1,38,Sun Sep 25 03:07:47 +0000 2016,0,False,1390,en,https://t.co/CNvALGOXRV,False,False,False,1
779417371282776064,779417371282776064,🏵🌱wildflowers🌾🌼,wildflowersbot,,im a bot what explores fields of flowers - by @Objelisks,https://t.co/fxgpvhoG1g,575,0,43,Fri Sep 23 20:29:16 +0000 2016,6,False,4204,en,https://t.co/ISxPhK8DD0,True,False,False,1
771171887145623554,771171887145623554,Golden Ratio Bot,goldenratiobot,The Internet,nature is beautiful! i'm a bot that tweets 5x/day. built by @lanewinfield,,533,2,34,Thu Sep 01 02:24:40 +0000 2016,2,False,1056,en,LOOK! https://t.co/H14Re5SU4I,False,True,False,1
764517811242823680,764517811242823680,wisdom_exe,wisdom_exe,,"hi i know things, i'll teach you some of them. bot by @cblgh",,26,0,9,Sat Aug 13 17:43:45 +0000 2016,0,False,1317,en,concentrate on your homework and you must start by creating a vanishing point by drawing an “x” at the center of the paper,False,False,False,1
762031297015406592,762031297015406592,Roses Are Red,RosesAreRedBot,"Portland, OR","roses are red / violets are blue / computers can tell this kind of joke too // a bot by @tinysubversions, posts 4x/day",,280,0,24,Sat Aug 06 21:03:13 +0000 2016,0,False,717,en,"roses are red
poisonous bane
Crime and the Adolescent Brain
https://t.co/V7erA5fgDJ",False,True,False,1
761297528205742080,761297528205742080,lists of lists,lists_of_lists,,There's a lot of lists on wikipedia! I list them. Basically I am a list lister #botALLY by @muffinista,https://t.co/F9U7lQOBWG,101,1,19,Thu Aug 04 20:27:29 +0000 2016,0,False,1281,en,"List of Fellows of the American Academy in Rome 1896-1970
https://t.co/lauUKR4JId",False,True,False,1
757804429357613056,757804429357613056,baby jenny,darndesttruisms,,"a bot by @_k_e_l_s_e_y, inspired by @theshrillest. tweets 4 times a day",https://t.co/puKvrZVXw9,490,1,21,Tue Jul 26 05:07:10 +0000 2016,0,False,927,en,"my 2-yr old son just said to me ""Daddy, sometimes science advances faster than it should""",False,True,False,1
745276792022437888,745276792022437888,grids grids grids,gridgenerator,,Simple generated grids three times a day. bot by @fitnr,,36,1,11,Tue Jun 21 15:26:48 +0000 2016,0,False,793,en,https://t.co/G5CqYH2ALC,False,True,False,1
743486977190801408,743486977190801408,What's On Steam,WhatsOnSteam,"Boston, MA","An unfiltered view of EVERY SINGLE STEAM LAUNCH! A @dejobaan experiment bot. It creates 6s trailers, too: @MicroTrailers. Not affiliated with Steam.",https://t.co/kamAvveTtX,912,2,17,Thu Jun 16 16:54:43 +0000 2016,19,False,3528,en,New on Steam: hack_me 2 https://t.co/vZbncFxUKd https://t.co/w1r9yY2NgO,False,False,False,1
743107055750287362,743107055750287362,Microsoft Clippy,Clippy_exe,"Redmond, WA",It looks like you're writing a tweet! Can I help?,,96,29,10,Wed Jun 15 15:45:03 +0000 2016,0,False,195,en,https://t.co/jJUTD5rEXH,False,True,False,1
738868494863720448,738868494863720448,overwatch.exe,overwatch_exe,watchpoint: gibraltar,bot by @ckolderup • #botALLY,,195,1,14,Fri Jun 03 23:02:31 +0000 2016,5,False,5949,en,PLAY OF THE GAME https://t.co/SkfIX8APtQ,False,False,False,1
737500353176829954,737500353176829954,nope,nope_nooope,,,,179,1,10,Tue May 31 04:26:01 +0000 2016,0,False,1149,en,"noope 
nooooooooooooope 
nooope",False,True,False,1
734549905558130688,734549905558130688,Bot A Coke With,botacokewith,cokeland,by @NoraReed,,290,1,20,Mon May 23 01:01:59 +0000 2016,0,False,1196,en,bonk a Coke with Magneto,False,True,False,1
733341475828686848,733341475828686848,RM Everyfile,rm_everyfile,,Deleting my host server one file at a time // a bot by @mattlaschneider,,183,1,16,Thu May 19 17:00:07 +0000 2016,1,False,3511,en,https://t.co/8QTm5XcaMH,False,False,False,1
731093680698888193,731093680698888193,Book On Balcony,bookonbalcony,@ojahnn's balcony,Read books with me on the balcony! New tweets every three hours. This is a project by @ojahnn.,https://t.co/Jnq6CJ39Z7,21,0,7,Fri May 13 12:08:11 +0000 2016,0,False,1343,de,I can't read this. Can you? https://t.co/ATRkJRypBl,False,True,False,1
728969170210062336,728969170210062336,Video Games,video_games_exe,Cyberspace,"All the hottest new hardcore video games! No filthy casuals allowed!

Bot by @czircon. #botALLY",https://t.co/CYr2IdmiI4,14,0,0,Sat May 07 15:26:08 +0000 2016,0,False,2437,en,Cabela's Dracula vs. Martians III,False,False,False,1
719663414767960064,719663414767960064,Burger Of The Day,botsburgers,,"Conveniently located on Ocean Drive. A Bob's Burgers-themed twitterbot by @mtrc, with @eegnsma as our landlord. Serves twice a day.",https://t.co/j3gqkUMzw5,252,6,17,Mon Apr 11 23:08:23 +0000 2016,11,False,236,en,https://t.co/IUDt8p0YVC,False,True,False,1
718518526256939008,718518526256939008,2blessed.exe,2blessed_exe,,Bot by @czircon. #botALLY,https://t.co/b6Jew2xZ5t,26,0,6,Fri Apr 08 19:19:00 +0000 2016,0,False,6832,en,too educational to be improvisational,False,True,False,1
715685404163371009,715685404163371009,u know it,mfw_sh,Internet,"i steal from @TVFaceBot and maybe from you, too. @BooDooPerson made me. You can watch my birth! https://t.co/KwqWaVFKGN #botALLY",https://t.co/0OnEXO6l0h,33,1,10,Thu Mar 31 23:41:11 +0000 2016,0,False,4032,en,mfw people make their fucking problems mine dawg. This ain't my responsibility. What the fuck. https://t.co/meTUCUGqWu,True,False,False,1
714099078875865088,714099078875865088,Prix Fixe,prix_fixe_exe,BK • NY,Today's specials. Executive chef @irondavy.,,13,1,2,Sun Mar 27 14:37:42 +0000 2016,0,False,1035,en,"Crunchy crème fraîche ""salad"", dried vadouvan
Sugar snap ""ganache"", dried Santa Rosa plum meringue, line-caught golden corn
Basil ""flan""",False,False,False,1
714080836916756481,714080836916756481,Spiraesthetic,spiraesthetic,,Soothing geometric animation | also on tumblr https://t.co/ePT1RNRNrC | bot by @mewo2,https://t.co/AHh9S3qJXv,82,1,18,Sun Mar 27 13:25:13 +0000 2016,0,False,2087,en,https://t.co/Cy17SyB20I,False,True,False,1
713916197033680896,713916197033680896,"Games, But With Guns",butwithguns,"Hyrule, probably",A Cool Games Inc tribute • bot by @ckolderup • #botALLY,https://t.co/CHmNhd0Zos,156,2,12,Sun Mar 27 02:31:00 +0000 2016,4,False,7075,en,Test Yourself: Psychology But With Guns https://t.co/FGcMDMjNkf,False,False,False,1
712992989979811840,712992989979811840,Emily N. Vanderbot,emilyvanderbot,#botALLY,I generate color studies after Emily Noyes Vanderpoel. Bot by @liza. More at Github link.,https://t.co/WdLWZbEeiu,150,0,18,Thu Mar 24 13:22:30 +0000 2016,6,False,326,en,Color analysis from keys https://t.co/FTEN0NqtQt,False,False,False,1
712799287256678401,712799287256678401,Aesthetic Dril,AestheticDril,,"@dril's tweets, but for your home or office. A @dril you can bring home to your parents on Thanksgiving. #botALLY",,904,0,19,Thu Mar 24 00:32:48 +0000 2016,0,False,1123,en,https://t.co/0eMzwxZAgT,False,False,False,1
712515450438094848,712515450438094848,Pikachaplin,pikachaplin,Hollywood,Reimagining Charlie Chaplin movies within the Pokémon universe • bot by @ckolderup • #botALLY,,56,1,13,Wed Mar 23 05:44:56 +0000 2016,1,False,7118,en,https://t.co/EXdE82E737,True,False,False,1
709947590268157952,709947590268157952,Tiny Dungeon Bot,TinyDungeons,,"I make tiny dungeons meant to look like something out of Nethack - created by @swartzcr - 
Play my tweets at https://t.co/jEVqqhothD",,382,1,47,Wed Mar 16 03:41:10 +0000 2016,6,False,2026,en,"⬛👿⬜⬜⬛⬛⬛⬛⬛⬛⬛⬛⬛
⬛⬜🐍🐍🏾🏾🏾🏾⬛⬛⬜🧀⬜
⬛⬜😥🧀⬛⬛⬛🏾🏾🏾⬜⬜⬜
⬛⬜⬜⬜⬛⬛⬛⬛⬛⬛⬛⬛🏾
⬛⬛⬛🏾⬛⬛⬛⬛⬛⬛⬛⬛🏾
⬛⬛⬛🏾⬛⬛⬜⬜🏾🏾⬜⬜🥞
⬛⬛⬛🏾⬛⬛⬜⬜⬛⬛⬜🦎⬜
⬛⬛⬛🏾⬛⬛⬛⬛⬛⬛⬜⛏⬜
⬛⬛⬛⬜⬜⬛⬛⬛⬛⬛⬜⬜⬜
⬛⬛⬛⬜⬜🏾🏾🏾🏾🏾⬜⬜🐘",False,True,False,1
709204950258089986,709204950258089986,threedesert,threedesert,,wandering the threedesert // feedback to @beaugunderson,,204,1,34,Mon Mar 14 02:30:11 +0000 2016,0,False,7491,en,→ @imgzoombot https://t.co/ekaBsUx9Yc,False,False,False,1
709149181412134912,709149181412134912,🌑,CrookedCosmos,340 miles up,"Glitch art from outer space. Bot by @zachwhalen from an idea by @adamferriss. Pixel sorting the cosmos. 
CC0",,1942,9,73,Sun Mar 13 22:48:35 +0000 2016,17,False,3031,en,.. https://t.co/xoTtx8anhE,False,True,False,1
708102355477069824,708102355477069824,trains botting,choochoobot,"Deserts, Forests, Beaches, etc",A mighty locomotive sweeps through rugged landscapes. // Eine mächtige Dampflokomotive braust durch winzige Landschaften. Pünktlich alle 4 Stunden. // by @xor,,4956,7,202,Fri Mar 11 01:28:52 +0000 2016,100,False,2179,en,"☁
         🌴🌴         
                 🐎  
  🚂🚃🚃🚃
    🐪   🌵        🐎  
     🐪         🌴",False,True,False,1
707259496154927105,707259496154927105,Mixed Reactions,mixed_reactions,,"Speculations on the universally understood, widely used and expressive: alternative designs for Facebook's Reaction widget. Bot by @aparrish; icons from Twemoji",https://t.co/NvexPAokK8,50,0,13,Tue Mar 08 17:39:38 +0000 2016,0,False,1462,en,help me get to 109M u5408s on this post https://t.co/wioyMCPVn3,False,True,False,1
706509948780453893,706509948780453893,Tavern of Mirth,TavernOfMirth,,A trope walks into a bar. Bot by @robdubbin. #botALLY,,40,0,14,Sun Mar 06 16:01:12 +0000 2016,0,False,884,en,"A fool walks into a bar. Bartender says, ""What is the collective noun for barbarians!"" The fool pauses and replies, ""I want to buy one!""",False,True,False,1
705962093623705602,705962093623705602,Survey Says,feud_exe,,Name something by @irondavy,,190,1,23,Sat Mar 05 03:44:14 +0000 2016,1,False,4032,en,"Name something you might find in a kid's room.
[38] Orangutan
[35] Blossom
[18] Lithium-Air Batteries
[09] Morale",False,False,False,1
